country,life_expectancy_female,life_expectancy_male,expected_schooling_female,expected_schooling_male,mean_schooling_female,mean_schooling_male,gni_female,gni_male,maternal_mortality_ratio,adolescent_birth_rate,parliament_seat_percentage,secondary_education_percentage_female,secondary_education_percentage_male,labor_force_participation_female,labor_force_participation_male
Switzerland,85.9,82,16.4,16.6,13.5,14.2,"54,597","79,451",5,2.2,39.8,96.9,97.5,61.7,72.7
Norway,84.9,81.6,18.9,17.5,13.1,12.9,"54,699","74,445",2,2.3,45,99.1,99.3,60.3,72
Iceland,84.2,81.2,20.3,18.1,13.9,13.7,"47,136","64,004",4,5.4,47.6,99.8,99.7,61.7,70.5
"Hong Kong, China (SAR)",88.3,82.7,17.6,17,11.8,12.7,"51,735","75,307",..,1.6,..,77.1,83.4,53.5,65.8
Australia,85.8,83.2,21.8,20.3,12.8,12.6,"37,486","61,161",6,8.1,37.9,94.6,94.4,61.1,70.5
Denmark,83.3,79.5,19.3,18.1,13.2,12.8,"49,876","70,961",4,1.9,39.7,95.1,95.2,57.7,66.7
Sweden,84.9,81.1,20.5,18.3,12.8,12.4,"49,580","59,326",4,3.3,47,91.8,92.2,61.7,68
Ireland,83.8,80.2,19.2,18.6,11.8,11.4,"61,104","91,506",5,5.9,27.3,88.1,86,56.5,68.6
Germany,83.2,78.1,17,17,13.8,14.3,"46,150","63,143",7,7.5,34.8,96.1,96.5,56.8,66
Netherlands,83.4,80,19,18.4,12.4,12.8,"46,301","65,778",5,2.8,39.1,89.8,92.7,62.4,71.3
Finland,84.7,79.3,19.9,18.3,13,12.7,"41,698","57,394",3,4.2,46,99,98.5,56.5,64
Singapore,84.9,80.6,16.7,16.4,11.6,12.3,"75,094","105,348",8,2.6,29.8,80.5,85.9,59.4,76.8
Belgium,84.3,79.4,20.7,18.5,12.3,12.4,"42,533","62,295",5,5.3,42.9,87.2,89.7,49.8,58.8
New Zealand,84.3,80.6,20.8,19.7,12.9,13,"36,864","51,377",9,12.6,49.2,82,81.8,65.1,75.3
Canada,84.7,80.6,16.9,15.9,13.9,13.7,"38,652","55,065",10,7,34.4,100,100,60.8,69.7
Liechtenstein,85.4,81.1,14.2,16.2,..,..,..,..,..,3,28,..,..,..,..
Luxembourg,84.8,80.4,14.4,14.4,13,13,"70,117","98,991",5,4.3,35,100,100,58.5,65.5
United Kingdom,82.8,78.7,17.8,16.8,13.4,13.4,"37,374","53,265",7,10.5,31.1,99.8,99.8,58,67.1
Japan,87.7,81.8,15.2,15.2,13.3,13.4,"30,621","54,597",5,2.9,14.2,95.9,92.7,53.3,71
Korea (Republic of),86.8,80.4,16.1,16.9,11.9,13.2,"29,300","59,737",11,2.2,19,83.1,93.1,53.4,72.4
United States,80.2,74.3,16.9,15.6,13.7,13.6,"51,539","78,238",19,16,27,96.5,96.4,55.2,66.4
Israel,84.3,80.2,16.7,15.4,13.4,13.3,"34,960","48,126",3,7.6,28.3,91.6,93.7,58.5,66.1
Malta,86.1,81.4,17.4,16.3,12,12.4,"30,282","46,821",6,11.5,13.4,82.2,88.1,53.1,71.4
Slovenia,83.8,77.6,18.4,16.9,12.8,12.8,"33,038","46,386",7,4.5,21.5,97.6,98.7,53.8,62.2
Austria,84.1,79,16.4,15.6,12,12.6,"43,414","64,148",5,5.5,39.3,100,100,55.5,66.3
United Arab Emirates,80.9,77.2,16.5,15.2,12.5,12.8,"28,921","77,318",3,3.1,50,82,85.6,46.5,88
Spain,85.8,80.2,18.4,17.4,10.5,10.7,"31,213","45,784",4,6.3,42.3,78.5,83.2,52.7,62.4
France,85.5,79.4,16.2,15.5,11.4,11.8,"38,403","53,988",8,9.5,37.8,83.5,87.9,51.9,59.7
Cyprus,83.2,79.2,15.7,15.6,12.4,12.5,"30,617","45,735",6,6.8,14.3,81.1,84.8,56.6,68.8
Italy,85.1,80.5,16.6,15.9,10.6,10.9,"31,100","55,187",2,4,35.3,78.6,86.1,39.9,57.6
Estonia,81.2,72.8,16.8,15.1,13.8,13.3,"30,995","45,866",9,8.8,25.7,97.6,98.1,57.5,70.2
Czechia,80.9,74.7,16.8,15.7,12.7,13,"30,455","47,289",3,9.7,22.1,99.8,99.8,51.7,68.1
Greece,82.9,77.5,20.1,20,11.1,11.7,"22,890","35,368",3,8.5,21.7,69.9,77.8,43.3,58.1
Poland,80.4,72.6,16.8,15.3,13.3,13,"25,261","41,336",2,9.7,27.5,86.5,90.7,49.2,65.5
Bahrain,80,77.8,17,15.9,10.8,11.2,"16,786","53,359",14,8.7,18.8,79.9,83.1,42.4,83.5
Lithuania,78.8,68.8,16.7,15.9,13.6,13.4,"33,891","42,500",8,10.4,27.7,95.5,97.9,57.3,67.9
Saudi Arabia,78.8,75.6,16.2,16.1,10.7,11.7,"20,678","64,708",17,11.9,19.9,71.3,80.9,30.9,80.1
Portugal,84.1,77.8,17,16.7,9.6,9.5,"28,713","38,127",8,7.4,40,59.7,61.9,54,62.2
Latvia,77.8,69.2,16.8,15.6,13.6,12.9,"27,882","38,506",19,11.2,29,99.7,99.3,54.5,66.8
Andorra,84.3,77.2,..,..,10.5,10.6,..,..,..,5.9,46.4,70.7,72.4,..,..
Croatia,81.1,74.2,15.9,14.4,11.9,12.5,"23,888","36,713",8,8.6,31.1,97,100,45.9,58.8
Chile,81.4,76.5,17,16.5,10.8,11,"17,553","31,677",13,24.1,32.7,80.3,83.5,44.2,65.5
Qatar,80.9,78.3,14.5,12.1,11.6,9.6,"42,101","104,066",9,7.1,4.4,79.8,69.6,57.2,95.5
